Area 1,,Area 2,,Area 3,
X,Y,X,Y,X,Y
5.845764609,0.697196262,5.901811646,0.702803738,6.040270104,0.697196262
5.953289514,1.392523364,5.811377221,1.112149533,6.129789463,1.622429907
5.783632536,1.61682243,5.788300298,1.112149533,6.258542672,1.953271028
5.874399712,1.813084112,5.740873986,1.796261682,6.290061621,2.317757009
6.141429598,1.807476636,5.947145938,2.211214953,6.327970628,2.312149533
6.07557872,1.958878505,5.98656465,1.953271028,6.379328335,2.78317757
6.009641573,1.953271028,6.088762453,1.953271028,6.363048167,3.153271028
6.06912396,2.211214953,6.111978022,2.205607477,6.481821916,3.321495327
6.125170997,2.21682243,6.161480949,2.300934579,6.493160111,2.957009346
6.196040875,2.2,6.130254699,2.469158879,6.644679059,2.721495327
6.245546883,2.300934579,6.242404231,2.581308411,,
6.296698162,2.396261682,6.287020643,2.78317757,,
6.280217726,2.401869159,6.339730923,2.71588785,,
6.181375167,2.508411215,6.379063367,2.300934579,,
,,6.220630584,1.953271028,,
,,6.476670432,2.945794393,,
,,6.638116463,2.777570093,,
